Year,Country,Category,Value
2004,Afghanistan,Total,33
2004,Afghanistan,Invertebrates,1
2004,Afghanistan,Plants,1
2004,Afghanistan,Vertebrates,31
2004,Albania,Invertebrates,4
2004,Albania,Plants,0
2004,Albania,Total,37
2004,Albania,Vertebrates,33
2004,Algeria,Invertebrates,12
2004,Algeria,Plants,2
2004,Algeria,Total,50
2004,Algeria,Vertebrates,36
2004,American Samoa,Invertebrates,5
2004,American Samoa,Plants,1
2004,American Samoa,Total,24
2004,American Samoa,Vertebrates,18
2004,Andorra,Invertebrates,4
2004,Andorra,Plants,0
2004,Andorra,Total,5
2004,Andorra,Vertebrates,1
2004,Angola,Invertebrates,6
2004,Angola,Plants,26
2004,Angola,Total,76
2004,Angola,Vertebrates,44
2004,Anguilla,Invertebrates,0
2004,Anguilla,Plants,3
2004,Anguilla,Total,18
2004,Anguilla,Vertebrates,15
2004,Antarctica,Invertebrates,0
2004,Antarctica,Plants,0
2004,Antarctica,Total,8
2004,Antarctica,Vertebrates,8
2004,Antigua and Barbuda,Invertebrates,0
2004,Antigua and Barbuda,Plants,4
2004,Antigua and Barbuda,Total,22
2004,Antigua and Barbuda,Vertebrates,18
2004,Areas n.e.s,Invertebrates,0
2004,Areas n.e.s,Plants,0
2004,Areas n.e.s,Total,1
2004,Areas n.e.s,Vertebrates,1
2004,Argentina,Invertebrates,10
2004,Argentina,Plants,42
2004,Argentina,Total,186
2004,Argentina,Vertebrates,134
2004,Armenia,Invertebrates,7
2004,Armenia,Plants,1
2004,Armenia,Total,35
2004,Armenia,Vertebrates,27
2004,Aruba,Invertebrates,1
2004,Aruba,Plants,0
2004,Aruba,Total,18
2004,Aruba,Vertebrates,17
2004,Australia,Invertebrates,283
2004,Australia,Plants,56
2004,Australia,Total,621
2004,Australia,Vertebrates,282
2004,Austria,Invertebrates,44
2004,Austria,Plants,3
2004,Austria,Total,67
2004,Austria,Vertebrates,20
2004,Azerbaijan,Invertebrates,6
2004,Azerbaijan,Plants,0
2004,Azerbaijan,Total,38
2004,Azerbaijan,Vertebrates,32
2004,Bahamas,Invertebrates,1
2004,Bahamas,Plants,5
2004,Bahamas,Total,42
2004,Bahamas,Vertebrates,36
2004,Bahrain,Invertebrates,0
2004,Bahrain,Plants,0
2004,Bahrain,Total,18
2004,Bahrain,Vertebrates,18
2004,Bangladesh,Invertebrates,0
2004,Bangladesh,Plants,12
2004,Bangladesh,Total,85
2004,Bangladesh,Vertebrates,73
2004,Barbados,Invertebrates,0
2004,Barbados,Plants,2
2004,Barbados,Total,20
2004,Barbados,Vertebrates,18
2004,Belarus,Invertebrates,8
2004,Belarus,Plants,0
2004,Belarus,Total,18
2004,Belarus,Vertebrates,10
2004,Belgium,Invertebrates,11
2004,Belgium,Plants,0
2004,Belgium,Total,36
2004,Belgium,Vertebrates,25
2004,Belize,Invertebrates,1
2004,Belize,Plants,30
2004,Belize,Total,67
2004,Belize,Vertebrates,36
2004,Benin,Invertebrates,0
2004,Benin,Plants,14
2004,Benin,Total,31
2004,Benin,Vertebrates,17
2004,Bermuda,Invertebrates,25
2004,Bermuda,Plants,4
2004,Bermuda,Total,47
2004,Bermuda,Vertebrates,18
2004,Bhutan,Invertebrates,1
2004,Bhutan,Plants,7
2004,Bhutan,Total,48
2004,Bhutan,Vertebrates,40
2004,Bolivia,Invertebrates,1
2004,Bolivia,Plants,70
2004,Bolivia,Total,150
2004,Bolivia,Vertebrates,79
2004,Bosnia and Herzegovina,Invertebrates,10
2004,Bosnia and Herzegovina,Plants,1
2004,Bosnia and Herzegovina,Total,40
2004,Bosnia and Herzegovina,Vertebrates,29
2004,Botswana,Invertebrates,0
2004,Botswana,Plants,0
2004,Botswana,Total,15
2004,Botswana,Vertebrates,15
2004,Bouvet Island,Invertebrates,0
2004,Bouvet Island,Plants,0
2004,Bouvet Island,Total,1
2004,Bouvet Island,Vertebrates,1
2004,Brazil,Invertebrates,34
2004,Brazil,Plants,381
2004,Brazil,Total,697
2004,Brazil,Vertebrates,282
2004,British Indian Ocean Terr.,Invertebrates,0
2004,British Indian Ocean Terr.,Plants,1
2004,British Indian Ocean Terr.,Total,7
2004,British Indian Ocean Terr.,Vertebrates,6
2004,British Virgin Islands,Invertebrates,0
2004,British Virgin Islands,Plants,10
2004,British Virgin Islands,Total,30
2004,British Virgin Islands,Vertebrates,20
